GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ADQ001,AEL001,AEL002,AEL003,AEL004,AEL005,AEL006,AEL007,AEL008,AEL009,AEL010,AEL011,AEL012,AEL013,AEL014,AEL015,AEL016,AEL017,AEL018,AEL019,AEL020,AEL021,AEL022,AEL023,AEL024,AEL025,AEL026,AEL027,AEL028,AEL029,AEL030,AEL031,AEL032,AEL033,AEL034,AEL035,AEL036,AEL037,AEL038,AEL039,AEL040,AEL041,AEL042,AEL043,AEL044,AEL045,AEL046,AEL047,AEL048,AEL049,AEL050,AEL051,AEL052,AEL053,AEL054,AEL055,AEL056,AEL057,AEL058,AEL059,AEL060,AEL061,AEL062,AEL063,AEL064,AEL065,AEL066,AEL067,AEL068,AEL069,AEL070,AEL071,AEL072,AEL073,AEL074,AEL075,AEL076,AEL077,AEL078,AEL079,AEL080,AEL081,AEL082,AEL083,AEL084,AEL085,AEL086,AEL087,AEL088,AEL089,AEL090
"G390","1850","Ohio","390",,"Ohio",1980329,28488,127036,145958,128104,107089,178777,120512,80204,46352,27462,10790,2667,306,23,349,27707,123348,141724,123632,111126,168373,107098,70128,42520,23224,9157,2349,268,22,257,370,1565,1793,1572,1332,2324,1556,980,568,413,137,53,14,5,9,319,1493,1811,1613,1513,2457,1431,901,534,294,138,47,18,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G413","1850","Oregon Territory","413",,"Oregon Territory",13294,161,902,907,717,677,2375,1343,583,307,108,16,3,1,0,38,149,835,934,692,525,802,546,274,119,40,5,0,1,0,27,0,23,13,9,11,38,20,4,2,0,0,0,0,0,0,0,18,19,11,10,15,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G420","1850","Pennsylvania","420",,"Pennsylvania",2311786,31929,139268,157099,138633,116773,209438,144039,97558,58632,31814,13188,3344,335,20,664,31017,135990,154424,133258,124483,206801,133072,89451,55919,32224,13869,4035,406,31,446,637,2897,3286,2900,2397,4607,3480,2471,1467,744,297,120,22,9,35,748,2911,3417,3121,2975,5787,3792,2589,1513,790,357,152,60,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G440","1850","Rhode Island","440",,"Rhode Island",147545,1740,6939,7589,7365,7172,14652,10335,6636,4047,2443,1050,319,38,0,15,1804,6844,7611,7378,7828,15192,10191,7005,4665,2967,1510,489,48,3,0,37,164,197,159,153,363,287,180,83,58,40,15,1,0,1,29,159,194,184,163,369,309,206,128,106,51,26,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G450","1850","South Carolina","450",,"South Carolina",668507,3313,17973,20589,18842,14732,23474,15534,10573,6895,3659,1547,494,78,5,39,3139,17084,19988,18132,15530,23833,15273,10603,6778,3809,1825,623,133,24,42,77,571,695,653,395,606,474,283,188,105,47,25,8,3,1,78,541,712,634,495,812,635,356,281,151,73,41,13,7,0,4450,27019,27069,24890,20521,31745,20583,13138,8771,5426,2008,613,154,81,1288,4744,28229,28131,24825,21875,33472,22938,14513,8750,5502,2022,638,200,86,1303
"G470","1850","Tennessee","470",,"Tennessee",1002717,11679,52801,60471,54444,43870,64089,38947,25541,16269,8567,4006,1231,180,28,112,11247,50780,58416,51825,45094,64537,38361,25860,14950,8234,3797,1168,196,34,102,81,418,483,440,307,455,249,236,205,123,72,29,11,7,1,83,423,504,407,364,497,339,277,173,144,56,28,5,1,4,3452,17620,18647,17889,14004,21709,11370,6550,4421,2050,719,233,82,31,3,3609,18075,19087,17252,14621,21064,11984,7115,4468,2137,833,287,98,47,2
"G480","1850","Texas","480",,"Texas",212592,2437,11133,12277,10346,7836,16454,12117,6939,3452,1242,365,81,9,11,170,2326,10638,11347,9456,8073,12311,7353,4366,2117,840,231,63,13,12,19,0,27,38,25,18,40,23,17,14,2,3,1,3,0,0,2,24,27,19,24,34,23,19,9,2,1,2,0,0,0,705,4406,4356,4152,3175,5585,3131,1750,898,373,100,40,12,6,11,724,4366,4504,4091,3442,5683,3449,1878,829,332,93,34,12,10,14
"G495","1850","Utah Territory","495",,"Utah Territory",11380,220,871,696,683,659,1264,761,513,221,100,31,1,0,0,0,212,863,668,685,666,891,598,404,204,94,22,3,0,0,0,0,4,1,1,3,2,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,1,0,0,0,0,0,0,0,3,1,3,2,4,0,0,1,0,0,0,0,0,0
"G500","1850","Vermont","500",,"Vermont",314120,3345,15623,19437,18485,17480,27451,19766,15860,10679,6639,3521,1226,116,4,26,3226,15366,18640,17609,16778,25661,19262,15212,10397,6720,3554,1165,139,4,11,15,41,42,44,28,66,57,33,26,9,8,4,1,1,0,8,25,34,30,40,75,32,37,27,15,10,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G510","1850","Virginia","510",,"Virginia",1421661,12026,57266,66363,59955,47638,77492,51451,36105,22631,12724,5548,1689,228,28,156,11715,55100,63809,57485,50015,77559,49907,34756,22258,12711,5914,1819,289,35,128,695,3403,3924,3633,2637,4298,2787,2014,1259,794,349,137,51,20,1,717,3288,3911,3609,2978,5159,3344,2272,1461,869,432,182,64,35,10,5341,32419,35356,33883,25584,39991,25435,18416,12138,7614,3028,958,263,87,49,5814,32687,34897,32331,24659,36974,24240,17514,10850,6981,3264,1196,334,184,41
"G550","1850","Wisconsin","550",,"Wisconsin",305391,5279,20845,21765,17571,14522,31922,26086,14345,7634,3201,886,177,5,1,112,5124,20045,20432,16375,14217,26366,18638,10428,5567,2339,653,127,13,1,80,15,26,50,25,27,81,86,26,15,8,3,3,0,0,0,6,32,32,37,27,56,46,17,13,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
